datetime,lat,lon,mag,depth,referencia,year,month,day,hour,mag_class,depth_class,energy
2025-01-14T09:15:57,-9.71,-79.11,4.0,34.0,"84 km al SO de Samanco, Santa - Ancash",2025,1,14,9,moderado,superficial,6.3095734448019424e10
2025-01-18T15:57:39,-9.39,-79.19,3.7,48.0,"75 km al SO de Chimbote, Santa - Ancash",2025,1,18,15,leve,superficial,2.2387211385683468e10
2025-01-21T10:45:11,-9.6,-78.43,3.6,52.0,"20 km al SO de Casma, Casma - Ancash",2025,1,21,10,leve,superficial,1.5848931924611109e10
2025-01-23T13:54:49,-9.81,-78.79,4.2,45.0,"66 km al SO de Casma, Casma - Ancash",2025,1,23,13,moderado,superficial,1.2589254117941713e11
2025-01-27T08:33:34,-9.76,-78.71,3.5,45.0,"55 km al SO de Casma, Casma - Ancash",2025,1,27,8,leve,superficial,1.1220184543019653e10
2025-01-27T17:40:12,-10.69,-78.71,4.1,38.0,"92 km al SO de Huarmey, Huarmey - Ancash",2025,1,27,17,moderado,superficial,8.91250938133744e10
2025-02-13T09:36:17,-10.16,-78.95,4.2,30.0,"88 km al O de Huarmey, Huarmey - Ancash",2025,2,13,9,moderado,superficial,1.2589254117941713e11
2025-02-14T03:50:57,-9.81,-77.29,3.6,15.0,"20 km al SE de Recuay, Recuay - Ancash",2025,2,14,3,leve,superficial,1.5848931924611109e10
2025-02-27T11:32:16,-9.77,-78.75,4.0,38.0,"60 km al SO de Casma, Casma - Ancash",2025,2,27,11,moderado,superficial,6.3095734448019424e10
2025-04-13T23:51:14,-9.45,-77.62,3.7,15.0,"13 km al NO de Huaraz, Huaraz - Ancash",2025,4,13,23,leve,superficial,2.2387211385683468e10
2025-04-14T00:35:05,-8.18,-77.88,3.6,16.0,"27 km al NE de Cabana, Pallasca - Ancash",2025,4,14,0,leve,superficial,1.5848931924611109e10
2025-04-25T19:24:59,-9.49,-79.51,4.4,37.0,"111 km al SO de Chimbote, Santa - Ancash",2025,4,25,19,moderado,superficial,2.5118864315095822e11
2025-05-22T11:13:11,-9.08,-79.33,5.0,33.0,"81 km al O de Chimbote, Santa - Ancash",2025,5,22,11,fuerte,superficial,1.9952623149688828e12
2025-06-07T23:45:31,-9.77,-78.73,4.0,47.0,"58 km al SO de Casma, Casma - Ancash",2025,6,7,23,moderado,superficial,6.3095734448019424e10
2025-06-10T12:45:25,-9.36,-79.22,3.8,36.0,"76 km al SO de Chimbote, Santa - Ancash",2025,6,10,12,leve,superficial,3.1622776601683792e10
2025-06-18T11:52:51,-9.68,-79.0,3.7,37.0,"73 km al SO de Samanco, Santa - Ancash",2025,6,18,11,leve,superficial,2.2387211385683468e10
2025-06-20T10:04:13,-10.51,-78.43,3.7,45.0,"58 km al SO de Huarmey, Huarmey - Ancash",2025,6,20,10,leve,superficial,2.2387211385683468e10
2025-07-02T19:20:27,-10.02,-79.09,4.1,39.0,"103 km al O de Huarmey, Huarmey - Ancash",2025,7,2,19,moderado,superficial,8.91250938133744e10
2025-07-03T15:13:23,-10.46,-78.8,3.8,16.0,"83 km al SO de Huarmey, Huarmey - Ancash",2025,7,3,15,leve,superficial,3.1622776601683792e10
2025-07-04T11:58:48,-9.13,-77.62,3.6,9.0,"13 km al E de Yungay, Yungay - Ancash",2025,7,4,11,leve,superficial,1.5848931924611109e10
2025-07-07T15:30:19,-9.13,-77.62,3.5,14.0,"13 km al E de Yungay, Yungay - Ancash",2025,7,7,15,leve,superficial,1.1220184543019653e10
2025-07-12T02:22:50,-10.55,-78.56,3.8,34.0,"70 km al SO de Huarmey, Huarmey - Ancash",2025,7,12,2,leve,superficial,3.1622776601683792e10
2025-07-14T17:40:51,-9.15,-79.2,3.9,40.0,"68 km al O de Chimbote, Santa - Ancash",2025,7,14,17,leve,superficial,4.466835921509617e10
2025-07-15T00:35:02,-9.27,-79.05,3.8,45.0,"55 km al SO de Chimbote, Santa - Ancash",2025,7,15,0,leve,superficial,3.1622776601683792e10
2025-07-21T22:00:08,-9.66,-79.62,4.0,33.0,"131 km al SO de Chimbote, Santa - Ancash",2025,7,21,22,moderado,superficial,6.3095734448019424e10
2025-07-24T08:49:42,-9.39,-78.32,3.8,19.0,"9 km al N de Casma, Casma - Ancash",2025,7,24,8,leve,superficial,3.1622776601683792e10
2025-08-13T00:54:30,-9.11,-79.33,5.5,43.0,"81 km al O de Chimbote, Santa - Ancash",2025,8,13,0,fuerte,superficial,1.1220184543019652e13
2025-08-13T17:22:41,-9.98,-77.86,4.1,51.0,"33 km al E de Huarmey, Huarmey - Ancash",2025,8,13,17,moderado,superficial,8.91250938133744e10
2025-08-14T01:43:10,-10.1,-79.71,4.0,39.0,"163 km al SO de Samanco, Santa - Ancash",2025,8,14,1,moderado,superficial,6.3095734448019424e10
2025-08-18T06:33:02,-9.23,-78.61,3.6,41.0,"12 km al O de Samanco, Santa - Ancash",2025,8,18,6,leve,superficial,1.5848931924611109e10
2025-08-19T09:15:46,-9.33,-79.25,4.0,41.0,"78 km al O de Chimbote, Santa - Ancash",2025,8,19,9,moderado,superficial,6.3095734448019424e10
2025-09-01T11:29:22,-9.99,-79.82,4.0,43.0,"166 km al SO de Samanco, Santa - Ancash",2025,9,1,11,moderado,superficial,6.3095734448019424e10
2025-09-03T16:04:29,-10.17,-78.78,3.7,35.0,"70 km al O de Huarmey, Huarmey - Ancash",2025,9,3,16,leve,superficial,2.2387211385683468e10
2025-09-09T04:34:45,-8.97,-79.05,3.8,44.0,"52 km al O de Chimbote, Santa - Ancash",2025,9,9,4,leve,superficial,3.1622776601683792e10
2025-09-20T04:33:49,-8.66,-77.84,3.5,17.0,"18 km al SE de Corongo, Corongo - Ancash",2025,9,20,4,leve,superficial,1.1220184543019653e10
2025-09-24T18:39:14,-9.77,-78.72,4.3,48.0,"57 km al SO de Casma, Casma - Ancash",2025,9,24,18,moderado,superficial,1.7782794100389227e11
2025-09-29T02:06:09,-9.47,-77.02,3.5,15.0,"21 km al NE de Chavin De Huantar, Huari - Ancash",2025,9,29,2,leve,superficial,1.1220184543019653e10
2025-10-11T23:03:01,-10.54,-78.83,4.6,37.0,"91 km al SO de Huarmey, Huarmey - Áncash",2025,10,11,23,moderado,superficial,5.011872336272715e11
2025-10-19T20:57:00,-9.06,-79.28,3.7,38.0,"77 km al O de Chimbote, Santa - Áncash",2025,10,19,20,leve,superficial,2.2387211385683468e10
2025-10-21T18:40:07,-9.41,-79.28,4.0,24.0,"85 km al SO de Chimbote, Santa - Áncash",2025,10,21,18,moderado,superficial,6.3095734448019424e10
2025-10-22T09:28:22,-9.08,-79.15,4.0,31.0,"62 km al O de Chimbote, Santa - Áncash",2025,10,22,9,moderado,superficial,6.3095734448019424e10
2025-10-31T04:29:14,-9.78,-80.02,4.2,20.0,"176 km al SO de Chimbote, Santa - Áncash",2025,10,31,4,moderado,superficial,1.2589254117941713e11
2025-10-31T19:03:53,-10.3,-78.7,4.6,45.0,"65 km al SO de Huarmey, Huarmey - Áncash",2025,10,31,19,moderado,superficial,5.011872336272715e11
2025-11-04T06:38:24,-8.82,-79.01,3.6,58.0,"54 km al NO de Chimbote, Santa - Áncash",2025,11,4,6,leve,superficial,1.5848931924611109e10
2025-11-17T04:58:01,-10.63,-78.42,4.2,37.0,"69 km al SO de Huarmey, Huarmey - Áncash",2025,11,17,4,moderado,superficial,1.2589254117941713e11
2025-11-22T13:00:50,-10.78,-78.62,4.3,44.0,"94 km al SO de Huarmey, Huarmey - Áncash",2025,11,22,13,moderado,superficial,1.7782794100389227e11
2025-11-29T08:32:48,-8.28,-78.0,3.5,12.0,"15 km al SO de Pampas, Pallasca - Áncash",2025,11,29,8,leve,superficial,1.1220184543019653e10
2025-12-28T02:51:48,-9.09,-79.19,6.0,52.0,"67 km al O de Chimbote, Santa - Áncash",2025,12,28,2,fuerte,superficial,6.309573444801943e13
2025-12-28T03:51:28,-8.96,-79.19,4.1,50.0,"68 km al O de Chimbote, Santa - Áncash",2025,12,28,3,moderado,superficial,8.91250938133744e10
2025-12-28T05:17:22,-9.07,-79.28,4.3,47.0,"77 km al O de Chimbote, Santa - Áncash",2025,12,28,5,moderado,superficial,1.7782794100389227e11
2025-12-28T23:19:55,-8.98,-79.18,5.1,51.0,"66 km al O de Chimbote, Santa - Áncash",2025,12,28,23,fuerte,superficial,2.818382931264449e12
2025-12-29T00:25:12,-9.03,-79.18,3.8,42.0,"66 km al O de Chimbote, Santa - Áncash",2025,12,29,0,leve,superficial,3.1622776601683792e10
2025-12-29T04:03:07,-8.94,-79.18,3.9,51.0,"67 km al O de Chimbote, Santa - Áncash",2025,12,29,4,leve,superficial,4.466835921509617e10
2025-12-30T12:22:31,-8.99,-79.24,4.1,48.0,"73 km al O de Chimbote, Santa - Áncash",2025,12,30,12,moderado,superficial,8.91250938133744e10
2026-01-02T13:16:00,-9.02,-79.14,3.7,43.0,"61 km al O de Chimbote, Santa - Áncash",2026,1,2,13,leve,superficial,2.2387211385683468e10
2026-01-03T00:09:59,-8.96,-79.2,3.8,43.0,"69 km al O de Chimbote, Santa - Áncash",2026,1,3,0,leve,superficial,3.1622776601683792e10
2026-01-03T13:17:30,-9.08,-79.33,4.5,37.0,"82 km al O de Chimbote, Santa - Áncash",2026,1,3,13,moderado,superficial,3.5481338923357605e11
