total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
1715.0,21.0,0.0,0.0,4.86,0.14
1715.0,21.0,0.0,0.0,4.86,0.14
1715.0,21.0,0.0,0.0,4.86,0.14
1737.0,21.0,22.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1737.0,21.0,0.0,0.0,3.14,0.0
1740.0,21.0,3.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1740.0,21.0,0.0,0.0,0.43,0.0
1772.0,21.0,32.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1772.0,21.0,0.0,0.0,4.57,0.0
1782.0,21.0,10.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1782.0,21.0,0.0,0.0,1.43,0.0
1807.0,21.0,25.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1807.0,21.0,0.0,0.0,3.57,0.0
1842.0,21.0,35.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1842.0,21.0,0.0,0.0,5.0,0.0
1867.0,21.0,25.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1867.0,21.0,0.0,0.0,3.57,0.0
1894.0,21.0,27.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1894.0,21.0,0.0,0.0,3.86,0.0
1927.0,21.0,33.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1927.0,21.0,0.0,0.0,4.71,0.0
1938.0,21.0,11.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1938.0,21.0,0.0,0.0,1.57,0.0
1947.0,21.0,9.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1947.0,21.0,0.0,0.0,1.29,0.0
1962.0,21.0,15.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1962.0,21.0,0.0,0.0,2.14,0.0
1974.0,21.0,12.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1974.0,21.0,0.0,0.0,1.71,0.0
1984.0,21.0,10.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
1984.0,21.0,0.0,0.0,1.43,0.0
2000.0,21.0,16.0,0.0,2.29,0.0
2000.0,21.0,0.0,0.0,2.29,0.0
2000.0,21.0,0.0,0.0,2.29,0.0
