FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);06;Junio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);06;Junio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);06;Junio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);07;Julio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);07;Julio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);08;Agosto;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);08;Agosto;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);09;Setiembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);09;Setiembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);09;Setiembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);10;Octubre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;30;2;113;113;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);10;Octubre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);10;Octubre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;30;2;113;113;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);11;Noviembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;811;297;54;1,162;1,162;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);11;Noviembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;5;0;31;31;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);11;Noviembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837;302;54;1,193;1,193;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);12;Diciembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;879;234;209;1,322;1,322;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);12;Diciembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;3;9;53;53;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);12;Diciembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;920;237;218;1,375;1,375;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;01;Enero;0;Nacionales;0;0;0;0;0;4,291;2,783;1,346;8,420;0;0;0;0;0;684;21;107;812;9,232;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;01;Enero;1;Extranjeros;0;0;0;0;0;2,447;961;89;3,497;0;0;0;0;0;0;0;0;0;3,497;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;01;Enero;2;Nacionales Y Extranjeros;0;0;0;0;0;6,738;3,744;1,435;11,917;0;0;0;0;0;684;21;107;812;12,729;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;02;Febrero;0;Nacionales;0;0;0;0;0;6,243;3,812;1,955;12,010;0;0;0;0;0;692;62;227;981;12,991;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;02;Febrero;1;Extranjeros;0;0;0;0;0;1,601;446;61;2,108;0;0;0;0;0;0;0;0;0;2,108;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;02;Febrero;2;Nacionales Y Extranjeros;0;0;0;0;0;7,844;4,258;2,016;14,118;0;0;0;0;0;692;62;227;981;15,099;Sitio Arqueológico
