fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-15.84,-74.19,85,4,II Chala..,5 km al Este-NE de Chala,
,,-15.7,-71.9,11,5.2,"III Maca, Pinchollo, Madrigal; II Chivay",10 Km al Sur - Oeste de Pinchollo,
,,-15.69,-71.87,10,3.4,"II Maca, Pinchollo",7 Km al Sur-Oeste de Pinchollo,
,,-15.7,-71.96,12,4.5,III Cabanaconde,9 km al Sur -SE de Cabanaconde,
,,-15.66,-71.89,15,3.6,"II Madrigal, Pinchollo",7 Km al Oeste  - SO de Pinchollo,
,,-9.22,-79.22,53,4.6,"III Chimbote; II Salaverry, Trujillo",70 Km al Oeste-SO de Chimbote,
,,-15.7,-71.95,9,3.7,II Cabanaconde,9 Km al Sur- Se de Cabanaconde,
,,-15.64,-71.7,8,3.7,II Maca,8 Km al este de Maca,
,,-16.33,-73.54,31,5,"IV Atico, Ocoña; III-IV Aplao, Camaná; II Caravelí, Chala,Chuquibamba, Quilca, Pampacolca, Cotahuasi, Arequipa ",16 Km al SE de Atico,
,,-15.62,-71.9,13,3.7,"II Maca, Pinchollo",14 Km de Maca,
,,-16.64,-71.94,9,4.2,II Cabanaconde,5 Km al Este SE de Cabanaconde,
,,-12.24,-77.4,32,4,II Lima,35 Km al SO del Callao,
,,-8.55,-74.42,169,5.7,"III-IV Pucallpa; II Aguaytia, Aucayacu, Tingo María, Tocache, Huánuco",24 Km al Sur-SE de Pucallpa,
,,-16.89,-73.67,20,4.9,"II Atico, Ocoña, Camana",76 km al Sur de Atico,
,,-8.01,-76.78,30,5.3,"III Tayabamba, Nuevo Tocache; II-III Huacrachuco, Uchiza; II Pomabamba, Juanjui, Saposoa, Tarapoto, Tingo Maria, Chachapoyas",35 Km. al Oeste-NO de Nuevo Tocache,
,,-15.75,-75.15,40,4.4,"II Lomas, Yauca, Marcona, Nazca",38 Km al Oeste-SO de Lomas,
