profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
49,,0,III Atico,,2025-01-14T20:06:17.000Z,-16.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250035_20250114_200110.pdf,-73.47,1970-01-01T20:01:10.000Z,1970-01-01T15:01:10.000Z,,10006,1,"18 km al NE de Atico, Caraveli - Arequipa",2025-01-14T20:06:17.000Z,,,2025-0035,35,4.3,2025-01-14T00:00:00.000Z,2025-01-14T00:00:00.000Z
37,,0,II-III Tumbes,,2025-01-15T03:00:41.000Z,-3.76,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250036_20250115_025421.pdf,-80.41,1970-01-01T02:54:21.000Z,1970-01-01T21:54:21.000Z,,10007,1,"22 km al S de Tumbes, Tumbes - Tumbes",2025-01-15T03:00:41.000Z,,,2025-0036,36,3.7,2025-01-15T00:00:00.000Z,2025-01-14T00:00:00.000Z
37,,0,II-III Yauca,,2025-01-15T07:14:36.000Z,-15.82,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250037_20250115_070910.pdf,-74.66,1970-01-01T07:09:10.000Z,1970-01-01T02:09:10.000Z,,10008,1,"23 km al SO de Yauca, Caraveli - Arequipa",2025-01-15T07:14:36.000Z,,,2025-0037,37,3.8,2025-01-15T00:00:00.000Z,2025-01-15T00:00:00.000Z
15,,0,II Arequipa,,2025-01-15T13:41:00.000Z,-16.74,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250038_20250115_133523.pdf,-71.55,1970-01-01T13:35:23.000Z,1970-01-01T08:35:23.000Z,,10009,1,"39 km al S de Arequipa, Arequipa - Arequipa",2025-01-15T13:41:00.000Z,,,2025-0038,38,3.5,2025-01-15T00:00:00.000Z,2025-01-15T00:00:00.000Z
18,,0,II-III Tumbes,,2025-01-17T09:04:23.000Z,-3.53,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250039_20250117_085830.pdf,-80.6,1970-01-01T08:58:30.000Z,1970-01-01T03:58:30.000Z,,10010,1,"16 km al O de Tumbes, Tumbes - Tumbes",2025-01-17T09:04:23.000Z,,,2025-0039,39,3.9,2025-01-17T00:00:00.000Z,2025-01-17T00:00:00.000Z
16,,0,III Zorritos,,2025-01-17T12:59:29.000Z,-3.54,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250040_20250117_125434.pdf,-80.76,1970-01-01T12:54:34.000Z,1970-01-01T07:54:34.000Z,,10011,1,"18 km al NO de Zorritos, Contralmirante Villar - Tumbes",2025-01-17T12:59:29.000Z,,,2025-0040,40,4.1,2025-01-17T00:00:00.000Z,2025-01-17T00:00:00.000Z
172,,0,,,2025-01-17T20:42:43.000Z,-17.74,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250041_20250117_203940.pdf,-69.92,1970-01-01T20:39:40.000Z,1970-01-01T15:39:40.000Z,,10012,1,"32 km al S de Tarata, Tarata - Tacna",2025-01-17T20:42:43.000Z,,,2025-0041,41,4,2025-01-17T00:00:00.000Z,2025-01-17T00:00:00.000Z
220,,0,,,2025-01-18T02:26:11.000Z,-16.63,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250042_20250118_021859.pdf,-69.3,1970-01-01T02:18:59.000Z,1970-01-01T21:18:59.000Z,,10013,1,"29 km al O de Desaguadero, Chucuito - Puno",2025-01-18T02:26:11.000Z,,,2025-0042,42,4,2025-01-18T00:00:00.000Z,2025-01-17T00:00:00.000Z
11,,0,II-III Andamarca,,2025-01-18T09:14:21.000Z,-11.91,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250043_20250118_090915.pdf,-74.95,1970-01-01T09:09:15.000Z,1970-01-01T04:09:15.000Z,,10014,1,"25 km al SO de Andamarca, Concepcion - Junin",2025-01-18T09:14:21.000Z,,,2025-0043,43,3.5,2025-01-18T00:00:00.000Z,2025-01-18T00:00:00.000Z
18,,0,III Chala,,2025-01-18T14:19:42.000Z,-16.32,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250044_20250118_141444.pdf,-74.51,1970-01-01T14:14:44.000Z,1970-01-01T09:14:44.000Z,,10015,1,"60 km al SO de Chala, Caraveli - Arequipa",2025-01-18T14:19:42.000Z,,,2025-0044,44,4.7,2025-01-18T00:00:00.000Z,2025-01-18T00:00:00.000Z
