NOM_TIPO;NOM_DPTO;NOM_MUSEO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;TOTAL_PAGANTES
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;205
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;118
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;323
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;207
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;113
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;320
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;72
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;71
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;143
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;4
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;4
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;4
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;4
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;10
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;10
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;41
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;41
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;23
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;23
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;38
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;38
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;126
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;126
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;82
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;82
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;80
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;80
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;22
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;22
Nacionales;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;7
Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;0
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico de Uyo Uyo;0;0;0;0;0;7
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;300
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;120
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;420
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;173
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;6
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;179
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;49
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;2
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;51
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;93
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;3
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;96
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;188
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;188
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;386
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;1
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;387
Nacionales;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;405
Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;0
Nacionales Y Extranjeros;Ayacucho;Sitio Arqueologico Intihuatana;0;0;0;0;0;405
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;965
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;251
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,216
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,071
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;338
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,409
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;628
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;203
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;831
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,777
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;214
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,991
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;686
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;135
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;821
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,326
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;220
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,546
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,874
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;325
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;2,199
