NOM_DPTO;COD_DPTO;NOM_MUSEO;TOTAL_NOPAGANTES;TOTAL_PAGANTES;TOTAL
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;4;4
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;4;4
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;10;10
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;10;10
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;41;41
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;41;41
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;23;23
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;23;23
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;38;38
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;38;38
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;126;126
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;126;126
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;82;82
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;82;82
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;80;80
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;80;80
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;22;22
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;22;22
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;7;7
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;7;7
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;300;300
Ayacucho;5;Sitio Arqueologico Intihuatana;0;120;120
Ayacucho;5;Sitio Arqueologico Intihuatana;0;420;420
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;173;173
Ayacucho;5;Sitio Arqueologico Intihuatana;0;6;6
Ayacucho;5;Sitio Arqueologico Intihuatana;0;179;179
Ayacucho;5;Sitio Arqueologico Intihuatana;0;49;49
Ayacucho;5;Sitio Arqueologico Intihuatana;0;2;2
Ayacucho;5;Sitio Arqueologico Intihuatana;0;51;51
Ayacucho;5;Sitio Arqueologico Intihuatana;0;93;93
Ayacucho;5;Sitio Arqueologico Intihuatana;0;3;3
Ayacucho;5;Sitio Arqueologico Intihuatana;0;96;96
Ayacucho;5;Sitio Arqueologico Intihuatana;0;188;188
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;188;188
Ayacucho;5;Sitio Arqueologico Intihuatana;0;386;386
Ayacucho;5;Sitio Arqueologico Intihuatana;0;1;1
Ayacucho;5;Sitio Arqueologico Intihuatana;0;387;387
Ayacucho;5;Sitio Arqueologico Intihuatana;0;405;405
Ayacucho;5;Sitio Arqueologico Intihuatana;0;0;0
Ayacucho;5;Sitio Arqueologico Intihuatana;0;405;405
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;965;965
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;251;251
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,216;1,216
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,071;1,071
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;338;338
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,409;1,409
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;628;628
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;203;203
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;831;831
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,777;1,777
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;214;214
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,991;1,991
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;686;686
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;135;135
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;821;821
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,326;1,326
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;220;220
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,546;1,546
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,874;1,874
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;325;325
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;2,199;2,199
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;2,315;2,315
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;297;297
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;2,612;2,612
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,826;1,826
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;170;170
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;1,996;1,996
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;7,041;7,041
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;162;162
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;7,203;7,203
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;7,426;7,426
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;177;177
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;7,603;7,603
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;2,075;2,075
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;75;75
Cajamarca;6;Paisaje Cultural Arqueologico Cumbemayo;0;2,150;2,150
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,381;2,381
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;252;252
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,633;2,633
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,303;3,303
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;173;173
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,476;3,476
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;1,650;1,650
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;190;190
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;1,840;1,840
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,418;2,418
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;590;590
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,008;3,008
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;1,480;1,480
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;176;176
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;1,656;1,656
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,068;2,068
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;232;232
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,300;2,300
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,472;3,472
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;618;618
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;4,090;4,090
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,467;3,467
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;523;523
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;3,990;3,990
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,391;2,391
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;173;173
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;2,564;2,564
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;8,828;8,828
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;281;281
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;9,109;9,109
Cajamarca;6;Centro Arqueologico Ventanilla de Otuzco;0;11,371;11,371
