ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Abril;Cusco;2;982
2007;Mayo;Cusco;0;75
2007;Mayo;Cusco;1;949
2007;Mayo;Cusco;2;1,024
2007;Junio;Cusco;0;22
2007;Junio;Cusco;1;654
2007;Junio;Cusco;2;676
2007;Julio;Cusco;0;26
2007;Julio;Cusco;1;696
2007;Julio;Cusco;2;722
2007;Agosto;Cusco;0;39
2007;Agosto;Cusco;1;902
2007;Agosto;Cusco;2;941
2007;Setiembre;Cusco;0;24
2007;Setiembre;Cusco;1;740
2007;Setiembre;Cusco;2;764
2007;Octubre;Cusco;0;103
2007;Octubre;Cusco;1;1,085
2007;Octubre;Cusco;2;1,188
2007;Noviembre;Cusco;0;74
2007;Noviembre;Cusco;1;1,030
2007;Noviembre;Cusco;2;1,104
2007;Diciembre;Cusco;0;32
2007;Diciembre;Cusco;1;758
2007;Diciembre;Cusco;2;790
2007;Enero;Cusco;0;156
2007;Enero;Cusco;1;4,486
2007;Enero;Cusco;2;4,642
2007;Febrero;Cusco;0;101
2007;Febrero;Cusco;1;3,683
2007;Febrero;Cusco;2;3,784
2007;Marzo;Cusco;0;75
2007;Marzo;Cusco;1;5,964
2007;Marzo;Cusco;2;6,039
2007;Abril;Cusco;0;127
2007;Abril;Cusco;1;6,349
2007;Abril;Cusco;2;6,476
2007;Mayo;Cusco;0;75
2007;Mayo;Cusco;1;6,216
2007;Mayo;Cusco;2;6,291
2007;Junio;Cusco;0;147
2007;Junio;Cusco;1;5,689
2007;Junio;Cusco;2;5,836
2007;Julio;Cusco;0;102
2007;Julio;Cusco;1;7,816
2007;Julio;Cusco;2;7,918
2007;Agosto;Cusco;0;115
2007;Agosto;Cusco;1;11,564
2007;Agosto;Cusco;2;11,679
2007;Setiembre;Cusco;0;167
2007;Setiembre;Cusco;1;8,013
2007;Setiembre;Cusco;2;8,180
2007;Octubre;Cusco;0;70
2007;Octubre;Cusco;1;7,775
2007;Octubre;Cusco;2;7,845
2007;Noviembre;Cusco;0;83
